No,Type,LAT,LONG_,Y_PROJ,X_PROJ,IND,Juv,Type1
378,WNC,38.25363,127.211074,4235469.585,343473.5445,4,2,F
379,WNC,38.249597,127.255976,4234947.087,347394.2013,3,1,F
380,WNC,38.245224,127.25619,4234461.389,347403.7639,3,1,F
381,WNC,38.252062,127.256522,4235219.651,347447.1759,3,1,F
382,WNC,38.252224,127.263658,4235225.866,348071.9463,3,1,F
383,WNC,38.251026,127.265554,4235089.917,348235.3729,2,0,F
384,WNC,38.252666,127.272396,4235260.616,348837.4843,4,2,F
385,WNC,38.256064,127.278467,4235627.838,349375.7056,4,2,F
386,WNC,38.227339,127.250036,4232486.928,346827.7075,3,1,F
387,WNC,38.223596,127.238474,4232090.767,345807.706,4,2,F
